"dwaid","dwatitle","adoption_rate","number_observations","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.3.I04.D02","Measure work site dimensions.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.7.I01.D03","Mediate disputes.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I03.D04","Meet with coworkers to communicate work orders or plans.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I01.D02","Mix ingredients to create specific finishes.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I11.D02","Mix sound inputs.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I01.D04","Mix substances or compounds needed for work activities.","","18","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I01.D08","Mix substances to create chemical solutions.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.6.I03.D11","Model cosmetics, clothing, or accessories.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I05.D04","Monitor animal behavior or condition.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I07.D01","Monitor availability of equipment or supplies.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I01.D01","Monitor broadcasting operations to ensure proper functioning.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I03.D06","Monitor business indicators.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I01.D03","Monitor engine operation or functioning.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I07.D01","Monitor environment to ensure safety.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I09.D02","Monitor environmental conditions to detect hazards.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I10.D04","Monitor environmental impacts of production or development activities.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I01.D14","Monitor equipment fluid levels.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I01.D13","Monitor equipment gauges or displays to ensure proper operation.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I02.D02","Monitor facilities or operational systems.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I03.D05","Monitor financial indicators.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I01.D11","Monitor instruments to ensure proper production conditions.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I01.D02","Monitor medical equipment to ensure proper functioning.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I11.D11","Monitor medical facility activities to ensure adherence to standards or regulations.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I02.D16","Monitor operational procedures in technical environments to ensure conformance to standards.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I02.D03","Monitor operational quality or safety.","","14","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I02.D20","Monitor organizational processes.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I05.D03","Monitor patients following surgeries or other treatments.","","17","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I11.D06","Monitor processes for compliance with standards.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I02.D08","Monitor recreational facility operations.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I07.D11","Monitor surroundings to detect potential hazards.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I02.D19","Monitor the handling of hazardous materials or medical wastes.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I02.D15","Monitor the productivity or efficiency of industrial operations.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I10.D01","Monitor the security of digital information.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I02.D07","Monitor vehicle movement or location.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I01.D12","Monitor video displays of medical equipment to ensure proper functioning.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I07.D13","Monitor work environment to ensure safety or adherence to specifications.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I06.D02","Mount attachments or tools onto production equipment.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I13.D02","Move patients to or from treatment areas.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.4.I01.D02","Navigate water vessels.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.7.I02.D09","Negotiate agreements to resolve disputes.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.7.I02.D10","Negotiate contracts with clients or service providers.","","19","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.7.I02.D06","Negotiate financial arrangements.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.7.I02.D12","Negotiate for services.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.7.I02.D05","Negotiate purchases or contracts.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I08.D04","Notify others of equipment problems.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I01.D06","Observe equipment in operation to detect potential problems.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I15.D01","Observe individuals' activities to gather information or compile evidence.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I17.D01","Obtain documentation to authorize activities.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I07.D01","Obtain information about goods or services.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I17.D03","Obtain written authorization to perform activities.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I05.D06","Operate audio recording equipment.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I05.D05","Operate audio-visual equipment.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I06.D01","Operate chemical processing or water treatment systems or equipment.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I10.D02","Operate communications, transmissions, or broadcasting equipment.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I05.D02","Operate computer systems.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I05.D01","Operate control consoles for sound, lighting or video.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I06.D09","Operate conveyors or other industrial material moving equipment.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I06.D06","Operate cooking, baking, or other food preparation equipment.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I12.D02","Operate cutting equipment.","","14","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I07.D05","Operate energy distribution equipment.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I07.D01","Operate energy production equipment.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I06.D11","Operate equipment to print images or bind printed images together.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I03.D04","Operate excavation equipment.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I11.D04","Operate farming equipment.","","14","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I02.D01","Operate firefighting equipment.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I11.D02","Operate forestry equipment.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.8.I02.D01","Operate gaming equipment.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I08.D01","Operate garment treatment equipment.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I12.D01","Operate grinding equipment.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I06.D07","Operate heating or drying equipment.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I11.D01","Operate irrigation systems.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I09.D01","Operate laboratory or field equipment.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.4.I01.D13","Operate locomotives or other rail vehicles.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I04.D05","Operate medical equipment.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I06.D12","Operate metal or plastic forming equipment.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I03.D03","Operate mining equipment.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I06.D08","Operate mixing equipment.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I07.D06","Operate natural gas distribution equipment.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I07.D02","Operate natural gas generation equipment.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I12.D03","Operate on patients to treat conditions.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I06.D04","Operate packing or other material processing equipment.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I06.D02","Operate painting or coating equipment.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I06.D10","Operate photographic developing or print production equipment.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I02.D01","Operate pumping systems or equipment.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I05.D04","Operate sewing equipment.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.4.I01.D01","Operate ships or other watercraft.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I05.D04","Operate still or video cameras or related equipment.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I12.D04","Operate textile cutting or production equipment.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I35.D05","Operate welding equipment.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I12.D03","Operate woodworking equipment.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I05.D02","Order instructional or library materials or equipment.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I05.D07","Order medical supplies or equipment.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I12.D02","Organize informational materials.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I11.D01","Organize recreational activities or events.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I11.D05","Organize special events.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I42.D01","Package agricultural products for shipment or further processing.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I42.D03","Package food or supplies.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I42.D02","Package products for storage or shipment.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I33.D02","Paint surfaces or equipment.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I16.D01","Participate in athletic events.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I07.D12","Patrol natural areas to ensure safety or enforce regulations.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I03.D07","Pay charges, fees, or taxes.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I01.D10","Perform administrative or clerical tasks.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I04.D03","Perform animal breeding procedures.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I01.D02","Perform basic equipment maintenance.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I01.D06","Perform clerical work in medical settings.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.8.I01.D06","Perform dances.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.8.I01.D02","Perform for recordings.","","17","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.6.I03.D01","Perform marketing activities.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.4.I01.D11","Pilot aircraft.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I06.D04","Place materials into molds.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I23.D05","Plan biological research.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.6.I01.D05","Plan community programs or activities for the general public.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.6.I01.D02","Plan conferences, programs, or special events.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I15.D06","Plan educational activities.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I13.D01","Plan employee work schedules.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.6.I02.D04","Plan flight operations.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I04.D02","Plan menu options.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.6.I02.D09","Plan production or operational procedures or sequences.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I17.D02","Plan programs to address community health issues.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I17.D01","Plan programs to address community mental wellness needs.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I23.D08","Plan social sciences research.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.6.I02.D03","Plan work operations.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.6.I02.D02","Plan work procedures.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I17.D06","Plant crops, trees, or other plants.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I17.D05","Plant greenery to improve landscape appearance.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I15.D04","Polish materials, workpieces, or finished products.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I22.D03","Position animal trapping or capture equipment.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I22.D04","Position construction forms or molds.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I22.D06","Position equipment using hand tools, power tools, or heavy equipment.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I22.D10","Position material handling equipment.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I22.D07","Position patterns on equipment, materials, or workpieces.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I22.D02","Position safety or support equipment.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I07.D03","Pour materials into or on designated areas.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I15.D03","Prepare accident or incident reports.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I13.D03","Prepare activity or work schedules.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I03.D05","Prepare analytical reports.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I47.D03","Prepare biological samples for testing or analysis.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I47.D02","Prepare biological specimens for laboratory analysis.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I03.D09","Prepare breads or doughs.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I47.D04","Prepare compounds or solutions for products or testing.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I13.D06","Prepare contracts, disclosures, or applications.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.6.I02.D07","Prepare detailed work plans.","","17","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I13.D01","Prepare explosives for detonation.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I01.D01","Prepare financial documents.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I13.D04","Prepare forms or applications.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I18.D14","Prepare graphics or other visual representations of information.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I13.D04","Prepare hazardous waste for processing or disposal.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I12.D06","Prepare healthcare training materials.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I46.D07","Prepare hoses or water supplies to fight fires.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I14.D06","Prepare information or documentation related to legal or regulatory matters.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I12.D07","Prepare informational or reference materials.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I14.D01","Prepare legal or investigatory documentation.","","17","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I18.D11","Prepare maps.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I08.D03","Prepare materials for preservation, storage, or display.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I01.D06","Prepare materials or solutions for animal or plant use.","","18","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I03.D03","Prepare meat products for sale or consumption.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I06.D03","Prepare medical reports or documents.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I11.D01","Prepare medical supplies or equipment for use.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I06.D01","Prepare official health documents or records.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I15.D01","Prepare operational reports or records.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I15.D04","Prepare operational reports.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I05.D02","Prepare outgoing mail.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I09.D01","Prepare procedural documents.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I18.D02","Prepare production storyboards.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I07.D04","Prepare proposals or grant applications to obtain project funding.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I15.D02","Prepare reports detailing student activities or performance.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I06.D04","Prepare reports summarizing patient diagnostic or care activities.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I03.D09","Prepare technical reports for internal use.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I06.D04","Prescribe assistive medical devices or related treatments.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I06.D01","Prescribe treatments or therapies.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I02.D03","Present information to the public.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I03.D01","Present research results to others.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I02.D09","Present social services program information to the public.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I29.D03","Process animal carcasses.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I06.D01","Process forensic or legal evidence in accordance with procedures.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I01.D03","Process healthcare paperwork.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I01.D08","Process library materials.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I04.D01","Process x-rays or other medical images.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I01.D02","Program equipment to perform production tasks.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I01.D04","Program robotic equipment.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.6.I03.D06","Promote educational institutions or programs.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.3.I04.D01","Protect patients or staff members using safety equipment.","","18","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I04.D01","Protect structures or surfaces near work areas to avoid damage.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I03.D03","Provide attraction or event information to patrons.","","17","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I03.D05","Provide basic health care services.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I03.D05","Provide customer service to clients or users.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I03.D08","Provide customers with general information or assistance.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I03.D06","Provide educational materials to community members.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I12.D02","Provide escort or transportation.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I02.D08","Provide information to the general public.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I01.D03","Provide medical or cosmetic advice for clients.","","18","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I03.D10","Provide patrons with directions to locales or attractions.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I03.D03","Provide safety training.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I11.D03","Provide security escorts for officials, jury members, or other individuals.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I04.D01","Provide technical guidance to other personnel.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I02.D05","Provide technical information or assistance to public.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I02.D01","Read materials to determine needed actions.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I07.D05","Rebuild parts or components.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I05.D12","Recommend changes or corrective procedures.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I04.D06","Recommend changes to improve computer or information systems.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I11.D02","Recommend investments to clients.","","18","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I08.D03","Recommend legal actions.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I02.D01","Recommend types of assistive devices.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08.D08","Record agricultural or forestry inventory data.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I05.D02","Record crime or accident scene evidence with video or still cameras.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I04.D01","Record information about environmental conditions.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I02.D05","Record information from legal proceedings.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08.D29","Record information from meetings or other formal proceedings.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08.D27","Record operational or environmental data.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08.D31","Record production information.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08.D18","Record research or operational data.","","18","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I10.D01","Record sales or transactions data.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I01.D05","Refer individuals to educational or work programs.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I08.D06","Relay information about incidents or emergencies to personnel using phones or two-way radios.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I19.D04","Remove accessories, tools, or other parts from equipment.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I05.D03","Remove debris from work sites.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I05.D09","Remove debris or damaged materials.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I05.D06","Remove debris or vegetation from work sites.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I15.D02","Remove dents from equipment, materials, tools or structures.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I05.D08","Remove excess materials from finished construction projects.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I19.D01","Remove parts or components from vehicles.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I29.D02","Remove skin or other body parts from animals.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I05.D04","Remove trash.","","19","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I05.D05","Remove worn, damaged or outdated materials from work areas.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I07.D01","Repair defective engines or engine components.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I03.D01","Repair electrical circuits or wiring.","","14","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I03.D04","Repair electrical components.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I03.D03","Repair electronic equipment.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I05.D01","Repair furniture or upholstery.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I09.D04","Repair medical facility equipment.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I07.D04","Repair non-engine automotive or vehicle components.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I05.D04","Repair parts or assemblies.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I05.D03","Repair precision devices or workpieces.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I06.D04","Repair production equipment or tools.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I05.D03","Repair textiles or apparel.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I06.D01","Replace worn equipment components.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I02.D07","Report news to the public.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I08.D03","Request emergency personnel.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I05.D01","Rescue people from hazardous situations.","","14","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I13.D02","Research crop management methods.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I16.D02","Research diseases or parasites.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I20.D01","Research engineering aspects of biological or chemical processes.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I10.D05","Research environmental impact of industrial or development activities.","","2","","","","","","","","","","","","","","","","","","","","","",""
